股票名稱,日期,日報酬率(%)
2330 台積電,2019/8/27,0.6036
2330 台積電,2019/8/28,0.8
2330 台積電,2019/8/29,0.7937
2330 台積電,2019/8/30,1.9685
2330 台積電,2019/9/2,-0.5792
2330 台積電,2019/9/3,-1.3592
2330 台積電,2019/9/4,1.378
2330 台積電,2019/9/5,2.1359
2330 台積電,2019/9/6,0.1901
2330 台積電,2019/9/9,0.5693
2330 台積電,2019/9/10,-1.3208
2330 台積電,2019/9/11,0.5736
2330 台積電,2019/9/12,-0.1901
2330 台積電,2019/9/16,1.1429
2330 台積電,2019/9/17,-0.1883
2330 台積電,2019/9/18,0.7547
2330 台積電,2019/9/19,0
2330 台積電,2019/9/20,-0.3774
2330 台積電,2019/9/23,0
2330 台積電,2019/9/24,0.3788
2330 台積電,2019/9/25,0.3774
2330 台積電,2019/9/26,0.7519
2330 台積電,2019/9/27,1.4925
2330 台積電,2019/10/1,2.9412
2330 台積電,2019/10/2,-0.1786
2330 台積電,2019/10/3,-1.0733
2330 台積電,2019/10/4,0
2330 台積電,2019/10/7,0.5425
2330 台積電,2019/10/8,3.0576
2330 台積電,2019/10/9,-1.5707
2330 台積電,2019/10/14,2.8369
2330 台積電,2019/10/15,1.2069
2330 台積電,2019/10/16,1.0221
2330 台積電,2019/10/17,-1.0118
2330 台積電,2019/10/18,-0.1704
2330 台積電,2019/10/21,-1.0239
2330 台積電,2019/10/22,1.3793
2330 台積電,2019/10/23,-0.3401
2330 台積電,2019/10/24,0
2330 台積電,2019/10/25,0.1706
2330 台積電,2019/10/28,0.3407
2330 台積電,2019/10/29,1.3582
2330 台積電,2019/10/30,0.335
2330 台積電,2019/10/31,-0.3339
2330 台積電,2019/11/1,0.1675
2330 台積電,2019/11/4,2.6756
2330 台積電,2019/11/5,1.1401
2330 台積電,2019/11/6,0.161
2330 台積電,2019/11/7,-0.6431
2330 台積電,2019/11/8,-1.1327
2330 台積電,2019/11/11,-1.473
2330 台積電,2019/11/12,1.3289
2330 台積電,2019/11/13,-0.3279
2330 台積電,2019/11/14,-0.1645
2330 台積電,2019/11/15,1.1532
2330 台積電,2019/11/18,1.3029
2330 台積電,2019/11/19,1.2862
2330 台積電,2019/11/20,-0.4762
2330 台積電,2019/11/21,-0.7974
2330 台積電,2019/11/22,-0.6431
2330 台積電,2019/11/25,-0.6472
2330 台積電,2019/11/26,0
2330 台積電,2019/11/27,1.3029
2330 台積電,2019/11/28,-0.4823
2330 台積電,2019/11/29,-1.454
2330 台積電,2019/12/2,0.8197
2330 台積電,2019/12/3,-0.1626
2330 台積電,2019/12/4,-0.3257
2330 台積電,2019/12/5,1.9608
2330 台積電,2019/12/6,0.3205
2330 台積電,2019/12/9,0.9585
2330 台積電,2019/12/10,-0.7911
2330 台積電,2019/12/11,1.7544
2330 台積電,2019/12/12,3.9185
2330 台積電,2019/12/13,2.2624
2330 台積電,2019/12/16,-0.885
2330 台積電,2019/12/17,2.6786
2330 台積電,2019/12/18,-0.1449
2330 台積電,2019/12/19,-2.0319
2330 台積電,2019/12/20,-1.791
2330 台積電,2019/12/23,1.5198
2330 台積電,2019/12/24,-0.5988
2330 台積電,2019/12/25,0.3012
2330 台積電,2019/12/26,0
2330 台積電,2019/12/27,1.5015
2330 台積電,2019/12/30,-1.0355
2330 台積電,2019/12/31,-1.0463
2330 台積電,2020/1/2,2.4169
2330 台積電,2020/1/3,0.1475
2330 台積電,2020/1/6,-2.2091
2330 台積電,2020/1/7,-0.753
2330 台積電,2020/1/8,0
2330 台積電,2020/1/9,2.4279
2330 台積電,2020/1/10,0.5926
2330 台積電,2020/1/13,0.5891
2330 台積電,2020/1/14,1.3177
2330 台積電,2020/1/15,-1.7341
2330 台積電,2020/1/16,-1.6176
2330 台積電,2020/1/17,-0.4484
2330 台積電,2020/1/20,0
2330 台積電,2020/1/30,-4.955
2330 台積電,2020/1/31,1.1058
2330 台積電,2020/2/3,-1.5625
2330 台積電,2020/2/4,3.1746
2330 台積電,2020/2/5,0.7692
2330 台積電,2020/2/6,1.5267
2330 台積電,2020/2/7,-1.3534
2330 台積電,2020/2/10,-0.1524
2330 台積電,2020/2/11,1.2214
2330 台積電,2020/2/12,1.0558
2330 台積電,2020/2/13,0
2330 台積電,2020/2/14,0
2330 台積電,2020/2/17,-1.0448
2330 台積電,2020/2/18,-2.8658
2330 台積電,2020/2/19,1.3975
2330 台積電,2020/2/20,-0.3063
2330 台積電,2020/2/21,-0.1536
2330 台積電,2020/2/24,-1.5385
2330 台積電,2020/2/25,0.625
2330 台積電,2020/2/26,-1.087
2330 台積電,2020/2/27,-0.7849
2330 台積電,2020/3/2,-1.5823
2454 聯發科,2019/3/4,-1.0714
2454 聯發科,2019/3/5,-1.444
2454 聯發科,2019/3/6,2.5641
2454 聯發科,2019/3/7,-2.1429
2454 聯發科,2019/3/8,-2.3723
2454 聯發科,2019/3/11,0.9346
2454 聯發科,2019/3/12,0.1852
2454 聯發科,2019/3/13,0.9242
2454 聯發科,2019/3/14,-0.1832
2454 聯發科,2019/3/15,1.2844
2454 聯發科,2019/3/18,0.7246
2454 聯發科,2019/3/19,-0.8993
2454 聯發科,2019/3/20,-0.363
2454 聯發科,2019/3/21,1.0929
2454 聯發科,2019/3/22,2.3423
2454 聯發科,2019/3/25,-2.6408
2454 聯發科,2019/3/26,1.6275
2454 聯發科,2019/3/27,-0.5338
2454 聯發科,2019/3/28,-1.0733
2454 聯發科,2019/3/29,2.17
2454 聯發科,2019/4/1,1.0619
2454 聯發科,2019/4/2,1.7513
2454 聯發科,2019/4/3,0
2454 聯發科,2019/4/8,1.3769
2454 聯發科,2019/4/9,1.6978
2454 聯發科,2019/4/10,0.1669
2454 聯發科,2019/4/11,-2.8333
2454 聯發科,2019/4/12,0.6861
2454 聯發科,2019/4/15,1.0221
2454 聯發科,2019/4/16,1.1804
2454 聯發科,2019/4/17,-3.8333
2454 聯發科,2019/4/18,0.8666
2454 聯發科,2019/4/19,-0.3436
2454 聯發科,2019/4/22,-0.3448
2454 聯發科,2019/4/23,0.346
2454 聯發科,2019/4/24,-0.1724
2454 聯發科,2019/4/25,-0.5181
2454 聯發科,2019/4/26,0.6944
2454 聯發科,2019/4/29,-0.8621
2454 聯發科,2019/4/30,2.7826
2454 聯發科,2019/5/2,0.846
2454 聯發科,2019/5/3,3.6913
2454 聯發科,2019/5/6,-0.9709
2454 聯發科,2019/5/7,1.634
2454 聯發科,2019/5/8,-0.3215
2454 聯發科,2019/5/9,-3.2258
2454 聯發科,2019/5/10,-0.5
2454 聯發科,2019/5/13,-4.0201
2454 聯發科,2019/5/14,0.8726
2454 聯發科,2019/5/15,0.346
2454 聯發科,2019/5/16,-0.6897
2454 聯發科,2019/5/17,1.0417
2454 聯發科,2019/5/20,-0.3436
2454 聯發科,2019/5/21,0.1724
